City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
321,Severo-Yeniseyskiy,RU,60.3725,93.0408,42.78,51,78,1.23,broken clouds
322,Bajah,YE,13.8141,44.6301,92.05,19,21,11.07,few clouds
323,Shenjiamen,CN,29.9576,122.298,69.19,82,0,9.86,clear sky
324,Mangan,IN,27.5167,88.5333,75.18,92,94,1.12,overcast clouds
325,Aitape,PG,-3.1374,142.3475,78.06,89,93,2.64,overcast clouds
326,Irece,BR,-11.3042,-41.8558,75.88,53,95,15.46,overcast clouds
327,Sikandarabad,IN,28.45,77.7,95.22,26,0,2.06,clear sky
328,Myitkyina,MM,25.3833,97.4,75.76,95,9,1.54,clear sky
329,Tubmanburg,LR,6.8708,-10.8172,83.95,75,99,4.0,light rain
330,Haapiti,PF,-17.5667,-149.8667,76.73,76,4,12.15,clear sky
331,Carnarvon,AU,-24.8667,113.6333,66.27,63,100,10.36,overcast clouds
332,Ewa Beach,US,21.3156,-158.0072,74.08,79,40,5.99,scattered clouds
333,Nome,US,64.5011,-165.4064,35.67,93,90,6.91,light rain
334,Bredasdorp,ZA,-34.5322,20.0403,77.29,43,15,5.88,few clouds
335,Sakaiminato,JP,35.55,133.2333,67.98,83,75,4.61,broken clouds
336,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.91,72,23,10.18,few clouds
337,Baie-Saint-Paul,CA,47.4411,-70.4986,71.73,63,44,10.0,scattered clouds
338,Rameswaram,IN,9.2833,79.3,84.45,77,100,20.2,overcast clouds
339,Balikpapan,ID,-1.2675,116.8289,78.53,86,98,4.79,overcast clouds
340,Lazaro Cardenas,MX,17.9583,-102.2,83.88,62,81,0.69,broken clouds
341,General Roca,AR,-39.0333,-67.5833,46.8,40,68,16.08,broken clouds
342,Westport,US,41.1415,-73.3579,91.06,65,1,1.01,clear sky
343,Atasu,KZ,48.6814,71.6433,68.97,27,79,13.38,broken clouds
344,Mount Gambier,AU,-37.8333,140.7667,53.51,82,40,12.66,scattered clouds
345,Mumford,GH,5.2618,-0.759,83.16,71,92,11.1,light rain
346,Oranjemund,NA,-28.55,16.4333,77.11,29,0,7.99,clear sky
