City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Havoysund,NO,2021-06-03 19:59:24,70.9963,24.6622,59.23,76,16,16.17
112,Castro,BR,2021-06-03 19:57:11,-24.7911,-50.0119,65.93,82,12,2.46
113,Goya,AR,2021-06-03 19:59:24,-29.14,-59.2626,74.82,46,26,6.26
114,Nelson Bay,AU,2021-06-03 19:58:19,-32.7167,152.15,58.08,83,34,1.99
115,Kahului,US,2021-06-03 19:59:24,20.8947,-156.47,84.97,73,20,11.99
116,Tamandare,BR,2021-06-03 19:59:25,-8.7597,-35.1047,77.85,80,13,6.44
117,New Norfolk,AU,2021-06-03 19:59:25,-42.7826,147.0587,49.71,68,82,5.01
118,Flinders,AU,2021-06-03 19:59:26,-34.5833,150.8552,56.05,90,35,9.78
119,Kloulklubed,PW,2021-06-03 19:59:26,7.0419,134.2556,82.15,79,18,7.61
120,Port Alfred,ZA,2021-06-03 19:59:27,-33.5906,26.891,58.98,60,72,2.8
121,Sao Joao Da Barra,BR,2021-06-03 19:59:27,-21.6403,-41.0511,87.89,79,0,8.66
122,Hanzhong,CN,2021-06-03 19:59:27,33.0728,107.0303,56.84,68,9,1.36
123,Sanchez,DO,2021-06-03 19:59:27,19.2281,-69.6137,87.82,70,40,9.69
124,Salalah,OM,2021-06-03 19:59:28,17.0151,54.0924,79.38,81,28,2.04
125,Zyryanka,RU,2021-06-03 19:59:28,65.75,150.85,60.15,45,7,15.21
126,Kingman,US,2021-06-03 19:59:28,35.1894,-114.053,98.53,3,40,11.99
127,Archidona,ES,2021-06-03 19:59:29,37.0965,-4.3887,73.94,69,0,4.38
128,Glendive,US,2021-06-03 19:59:29,47.1053,-104.7125,93.78,27,3,1.99
129,Hithadhoo,MV,2021-06-03 19:59:29,-0.6,73.0833,83.66,67,100,18.81
130,Tual,ID,2021-06-03 19:59:29,-5.6667,132.75,81.61,75,55,19.98
131,Podor,MR,2021-06-03 19:59:30,16.6527,-14.9587,90.91,28,72,19.91
132,Negru Voda,RO,2021-06-03 19:59:30,43.8167,28.2,59.32,81,100,11.36
133,Trimbak,IN,2021-06-03 19:59:30,19.9333,73.55,74.5,85,12,3.06
134,Broome,US,2021-06-03 19:59:31,42.2506,-75.833,73.06,80,90,1.99
135,Arraial Do Cabo,BR,2021-06-03 19:59:31,-22.9661,-42.0278,82.36,61,0,5.75
136,Vuktyl,RU,2021-06-03 19:59:31,63.8567,57.3094,44.55,58,58,2.66
137,Basco,PH,2021-06-03 19:59:31,20.4487,121.9702,84.27,80,83,19.57
138,Nantucket,US,2021-06-03 19:55:34,41.2835,-70.0995,68.61,99,100,19.06
139,Faanui,PF,2021-06-03 19:59:32,-16.4833,-151.75,79.81,80,69,9.69
140,Kizhinga,RU,2021-06-03 19:59:32,51.8462,109.9097,48.15,87,7,2.04
141,Belaya Gora,RU,2021-06-03 19:59:32,68.5333,146.4167,63.36,32,69,11.05
142,Christchurch,NZ,2021-06-03 19:55:18,-43.5333,172.6333,37.99,91,20,2.3
143,Lagoa,PT,2021-06-03 19:59:33,39.05,-27.9833,61.43,70,35,13.73
144,Kozlovka,RU,2021-06-03 19:59:33,55.8428,48.2492,57.24,75,0,11.39
145,Muli,MV,2021-06-03 19:59:33,2.9167,73.5667,83.05,72,85,16.22
146,Poum,NC,2021-06-03 19:59:34,-20.2333,164.0167,74.03,67,100,14.54
147,Jijiang,CN,2021-06-03 19:59:34,29.2906,106.2542,66.79,92,91,2.19
148,Ponta Delgada,PT,2021-06-03 19:57:46,37.7333,-25.6667,65.12,68,40,6.91
149,Xining,CN,2021-06-03 19:59:34,36.6167,101.7667,50.65,36,54,2.89
150,Saint-Ambroise,CA,2021-06-03 19:59:34,48.5501,-71.3324,68.31,88,100,9.82
151,Turiacu,BR,2021-06-03 19:59:35,-1.6633,-45.3717,79.12,89,43,5.1
152,Jati,PK,2021-06-03 19:59:35,24.3539,68.2671,85.06,72,35,12.88
153,Ancud,CL,2021-06-03 19:59:35,-41.8697,-73.8203,54.43,87,100,10.22
154,Provideniya,RU,2021-06-03 19:59:36,64.3833,-173.3,35.71,75,75,6.71
155,Rayachoti,IN,2021-06-03 19:59:36,14.05,78.75,78.48,75,93,2.66
156,Rocha,UY,2021-06-03 19:59:36,-34.4833,-54.3333,54.57,69,97,6.02
