City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
396,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
397,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
402,Poso,ID,77.81,broken clouds,-1.3959,120.7524,Hotel 77 Poso
403,Deep River,CA,77.43,broken clouds,46.1001,-77.4995,Deep River Motel
404,Porto Novo,BJ,87.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
406,Nabire,ID,76.87,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
409,Lasem,ID,81.46,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
417,Chippewa Falls,US,80.78,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
422,Keti Bandar,PK,87.06,clear sky,24.1447,67.4497,Haji laloo memon house
424,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
426,Mae Hong Son,TH,76.05,light rain,19.3003,97.9685,Baiyoke Chalet Hotel
430,Huilong,CN,76.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
431,Beira,MZ,75.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
434,Yangjiang,CN,78.87,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
435,Ambilobe,MG,76.3,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
436,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel
441,Santo Tomas,PH,83.57,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
444,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
451,Southbridge,US,88.03,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
452,San Andres,CO,82.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
453,Gagnoa,CI,89.44,light rain,6.1293,-5.9437,Residence Kiliyo
454,Yarada,IN,88.12,few clouds,17.65,83.2667,Jeevan
455,Tautira,PF,77.02,few clouds,-17.7333,-149.15,Pension Oaoa
457,Mata,PT,79.93,clear sky,40.683,-7.4592,Hostel EntryFik
461,Havelock,US,81.01,broken clouds,34.8791,-76.9013,Sherwood Motel
463,Dicabisagan,PH,81.86,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
467,Fuengirola,ES,81.36,few clouds,36.54,-4.6247,Hotel Las Palmeras
469,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
473,Mana,GF,80.04,broken clouds,5.6592,-53.7767,LE SAMANA
475,Banda Aceh,ID,80.64,overcast clouds,5.5577,95.3222,Sulthan Hotel International
480,Auki,SB,77.27,clear sky,-8.7676,160.7034,Auki Motel
481,Idil,TR,85.05,clear sky,37.3411,41.8895,İdil Öğretmen Evi Ve Aso Müdürlüğü
483,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
485,Mersin,TR,85.35,clear sky,36.861999999999995,34.6509,Nostalgia Boutique Hotel
486,Broome,US,82.65,clear sky,42.2506,-75.833,Chenango Valley State Park
487,Khowai,IN,75.58,overcast clouds,24.1,91.6333,RD GAMING
490,Zuwarah,LY,84.45,overcast clouds,32.9312,12.082,يوسف
494,Constantine,DZ,80.01,broken clouds,36.365,6.6147,Grand Hotel Cirta
496,Daru,PG,77.13,overcast clouds,-9.0763,143.2092,Daru Lodge
501,Millville,US,88.12,clear sky,39.4021,-75.0393,Fairfield Inn & Suites by Marriott Millville Vineland
502,Sao Filipe,CV,77.76,scattered clouds,14.8961,-24.4956,Hotel Xaguate
504,Cordele,US,82.92,clear sky,31.9635,-83.7824,Ramada by Wyndham Cordele
506,Ciego De Avila,CU,82.06,broken clouds,21.84,-78.7619,Ciego de Ávila
509,Hambantota,LK,81.91,overcast clouds,6.1241,81.1185,Bungalow 63
513,Sainte-Marie,RE,75.36,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
514,Tiarei,PF,77.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
515,Palembang,ID,79.63,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
516,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
517,Benidorm,ES,79.48,scattered clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
521,Cape Canaveral,US,87.87,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
523,Aquiraz,BR,89.22,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
525,Santa Marta,CO,83.19,overcast clouds,11.2408,-74.199,Casa de Isabella
528,Manoel Urbano,BR,84.47,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
530,Coahuayana,MX,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
533,Peniche,PT,77.72,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
534,Xinzhi,CN,85.78,overcast clouds,36.4989,111.7047,Mingyue Hotel
538,Tukrah,LY,77.07,few clouds,32.5341,20.5791,Lokta restaurant
547,Pascagoula,US,82.45,overcast clouds,30.3658,-88.5561,Regency Inn
549,Gainesville,US,84.31,broken clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
556,Golden,US,77.72,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
559,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
560,Obidos,BR,86.58,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
561,Bandrele,YT,80.35,clear sky,-12.9067,45.1914,Les Baobabs
562,Yanam,IN,84.6,scattered clouds,16.7333,82.2167,The Regency Hotel
567,La Macarena,CO,77.99,broken clouds,2.1837,-73.7849,Hotel Punto Verde
568,Laukaa,RU,76.23,broken clouds,58.7372,29.8453,U Lysoy Gory Hotel
570,Alcaudete,ES,86.59,clear sky,37.5909,-4.0824,Hidalgo
571,Kalmar,SE,76.93,clear sky,56.6616,16.3616,First Hotel Witt
579,Caxias,PT,80.42,few clouds,38.7031,-9.2767,Hotel Real Oeiras
581,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
582,Netarhat,IN,78.78,clear sky,23.4833,84.2667,Hotel Verma
590,Inhambane,MZ,75.18,light rain,-23.865,35.3833,Oceano
594,Edirne,TR,84.79,clear sky,41.6772,26.555999999999997,Taşodalar Otel
597,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
598,Puerto Carreno,CO,82.96,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
601,Polignano A Mare,IT,84.33,broken clouds,40.9959,17.2159,Grotta Palazzese
603,Tlapehuala,MX,80.31,scattered clouds,18.2167,-100.5167,Iglesia del Dios vivocolumna y apollo de la verdad
605,Mwinilunga,ZM,76.68,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
610,Namibe,AO,84.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
611,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
624,Muli,MV,83.25,clear sky,2.9167,73.5667,Medhufushi Island Resort
627,Cabras,IT,78.91,clear sky,39.93,8.5314,Hotel Villa Canu
629,Tegal,ID,79.63,overcast clouds,-6.8694,109.1402,Riez Palace Hotel
630,Tripoli,LY,89.38,broken clouds,32.8752,13.1875,Hotel Al-Safwa
633,Vayalar,IN,82.38,overcast clouds,9.7,76.3333,Vasundhara Sarovar Premiere
635,Puerto Narino,CO,80.55,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
638,Tual,ID,80.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
639,Bianzhuang,CN,81.37,light rain,34.8486,118.0447,Hao Shuo Business Hotel
644,Progress,US,85.95,clear sky,40.2851,-76.8314,Hilton Garden Inn Harrisburg East
646,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
647,Hajiganj,BD,78.75,overcast clouds,23.2511,90.8592,জেলা পরিষদ ডাক বাংলো
653,Benicarlo,ES,77.56,few clouds,40.4165,0.4271,El Pinche De Oro
661,Monrovia,LR,80.37,light rain,6.3005,-10.7969,Sunset Inn
662,Nantucket,US,87.91,clear sky,41.2835,-70.0995,Jared Coffin House
664,Muisne,EC,78.91,light rain,0.6,-80.0333,Quinta Samay
666,Szczytno,PL,75.13,clear sky,53.5626,20.9875,Noclegi Marusa
672,Palmer,US,87.66,few clouds,42.1584,-72.3287,Wedgewood Motel
676,Kalemie,CD,77.59,scattered clouds,-5.9475,29.1947,Mahobilali
677,Korla,CN,83.39,broken clouds,41.7597,86.1469,Gulisitan Hotel
678,Ipojuca,BR,78.71,scattered clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
679,Shenzhen,CN,84.27,scattered clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
682,Barcelos,PT,84.29,few clouds,41.5388,-8.6151,Hotel Do Terço
686,Aksu,CN,87.75,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
687,Tayu,ID,80.4,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
690,Menzelinsk,RU,76.24,clear sky,55.7271,53.1026,Odzun
692,Salyan,AZ,75.47,clear sky,39.5936,48.9805,Kür
698,Ciudad Guayana,VE,82.53,overcast clouds,8.3533,-62.6528,Hotel Las Americas
700,Bac Lieu,VN,84.72,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
704,Male,MV,83.3,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
705,Sambava,MG,77.18,few clouds,-14.2667,50.1667,Melrose
707,Kapit,MY,75.4,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
708,Watertown,US,88.74,clear sky,42.3709,-71.1828,Sonesta International Hotels Corporation
709,Marinette,US,83.16,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
710,Bonthe,SL,85.14,light rain,7.5264,-12.505,Bonthe Holiday Village
713,Bayshore Gardens,US,86.99,few clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
714,Salvador,SV,79.2,overcast clouds,13.8333,-88.9167,Chico's Ranch
715,Karratha,AU,75.94,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
717,Changde,CN,79.92,overcast clouds,29.0464,111.6783,Kangshida Hotel
